RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
2139,Beltrami County,Minnesota,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102200,96000,89100,107200,118300,119400,122600,119600,108400,115200,122700,132100,125600,122700,125600,132200,127300,127800,116900,129300,124100,135200,119800,122300,116100,128300,133200,130000,134400,135500,138700,129400,123300,132800,148000,148300,151300,124500,131900,121700,134200,129200,133200,137100,132300,119100,121100,111900,117400,122400,133100,133900,128000,135800,141300,143200,143500,140700,145300,153400,156300,151100,142000,151300,150000,152500,152200,153400,156200,153800,149900,140200,137000,136400,134400,133400,142100,148300,143500,146100,153900,165000,158000,164600,144800,145900,141100,163900,165900,157500,152100,145100,142000,145900,154700,161600,162600,155400,156400,156300,159800,155400,
1384,Shelby County,Indiana,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127400,126500,139300,139700,141800,134200,124700,126100,125700,141800,134000,131500,126400,121400,124500,127400,132700,127700,127700,130000,130400,123800,128400,132900,127100,124500,120300,127900,124200,140400,141000,149200,141600,144800,141300,140300,136000,134100,140500,152100,149000,147300,136200,147100,149900,158500,
1681,Douglas County,Wisconsin,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108900,105000,105700,104600,111900,120000,125500,121400,118700,118700,119300,122100,126900,122600,121800,118900,120700,126600,123700,124700,117400,116600,123900,123900,132200,135100,137700,137000,123800,117000,114100,117300,127900,126500,136800,134200,133900,134100,135000,134800,131200,139800,148200,144600,133600,121600,
3089,Cerro Gordo County,Iowa,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129200,112000,113800,118300,116600,111800,100300,103000,101800,101400,98100,108600,111100,112200,107700,113000,115800,113600,110400,107600,104700,105300,103600,111700,109300,118500,114000,
90,Nye County,Nevada,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157000,153400,149300,148100,145600,143300,141600,142400,137500,138500,140600,152400,158300,164800,169400,170600,163600,158600,158400,168500,169000,172100,171100,165500,164200,167500,182400,192600,194600,188100,176000,187300,201200,222300,209900,205600,198600,201100,202900,212300,230300,237100,242100,239500,244400,246500,242600,237800,231000
2566,Sullivan County,New Hampshire,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201000,181900,180700,177900,186900,185400,186400,170200,174000,167900,177400,180300,176000,177000,178200,186700,188500,194300,206900,209100,198900,199400,197700,201600,183600,195700,197400,
1614,Chilton County,Alabama,754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90300,94100,94700,88900,92900,93900,95700,87900,95400,99100,105300,93300,96700,101900,108100,118700,116200,110100,104200,93300,90400,98600,97300,105600,87900,99200,97800,94200,97200,105000,117300,118200,108700,98800,109000,112000,129000,114700,110500,102700,103800,103400,100700,102600,111200,112100,112700,113700,124600,123700,124500,121300,118400,110500,105500,115400,124900,117100,111100,98400,120200,120400,127500,122100,,
2042,Stevens County,Washington,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162300,149700,152000,160700,167200,146900,153400,152900,155000,136100,120200,131300,139100,144700,157400,158900,176200,161300,161000,151400,149000,147200,140700,145200,142900,143400,146000,157200,150000,137300,126000,133500,145400,156000,154500,152700,147100,153900,159100,152100,145800,132700,131200,135000,149700,156700,159400,154100,149800,144600,141600,137100,138400,151900,167800,173700,159900,153500,148800,150600,164900,163700,166200,157400,171200,178600,172400,149100,146100,150400,164400,159600,160300,161100,158800,169500,173800,185900,194200,192200,186200,169300,170800,178700,181200,182800,191700,205500,204900,194900,189000,179800,169600,177600,180200,199100,187200,
3288,Charlottesville City,Virginia,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225500,233500,242800,251100,247200,241700,265900,262600,267300,252100,258800,260400,274900,265700,253000,245900,258900,285600,273500,253100,251900,240300,247300,234400,258700,260500,263300,246200,246900,233000,240600,252300,275200,291900,279300,283100,269300,279500,270600,277400,311500,323100,323200,286600,261500,255700,257800,276400,286400,293300,300100,311800,300600,297700,288100,316000,317300,349800,347100,349000,317200,309000,313800,319300,328000,310300,339200,329900,329300,330600,336900,357000,330400,336000,332700,347300,
1254,Nelson County,Kentucky,757,97300,102000,104000,106400,104300,107700,109200,113200,105600,102000,103800,108600,97000,94300,102400,116800,118800,112500,109300,105900,98400,97300,101700,103500,101600,105500,115600,115700,119700,113100,109100,102800,97700,109800,109500,114400,107800,98100,94100,97900,105400,116000,119500,119400,116600,109700,116300,116200,124600,124900,121400,115100,118300,119900,124200,111200,109900,111000,115800,119700,118100,118000,119500,118000,119500,116200,131200,132900,134000,114200,114300,102900,105200,96000,98700,102400,111500,121000,114700,107600,115700,121600,123900,121200,121900,129900,128000,131300,129800,131600,142800,141000,137200,124500,125500,125100,126300,127200,140800,141900,143400,140700,144200,147800,142700,144800,148300,155000,153400,151200,143000,141000,135500,137500,142800,150900,155300,154100,152500,147700,145600,147200,150000,148000,147800,147600,157900,159700,166000,162500,160200,148700,143500,147500,154500,154300,153300,154900,
